,site,points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
3,winemag-data_1644183667.3527775.json,90,Cantine De Falco 2017 Bocca della Verità Primitivo (Salento),"
                      This plush, supple red delivers cohesive aromas and flavors of mixed berry liqueur that meet gentle notes of campfire smoke and savory spice. Bright acidity and smooth yet supportive tannins give this Primitivo a structured yet balanced vibe.                      ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,19.0,Bocca della Verità,Primitivo,Salento,,Southern Italy,Italy,Cantine De Falco
4,winemag-data_1644183667.3527775.json,90,Claiborne & Churchill 2020 Riesling (Central Coast),"
                      Tightly woven aromas of lime skin, freshly cut grass and chilled Asian pear flesh kick off the nose of this appellation blend. Sour lime skin and more lawn clippings show on the palate, where the acidity leads into a dried citrus finish.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,25.0,,Riesling,Central Coast,Central Coast,California,US,Claiborne & Churchill
5,winemag-data_1644183667.3527775.json,90,Menhir Salento 2014 Calamuri Primitivo (Salento),"
                      Rich aromas of liquor-soaked black cherry and blackberry meld with accents of game, earth and violet in this dense red. It's luscious and rounded on the palate, supported by velvety tannins that wrap around a mix of dried and fresh berry flavors. Bright acidity keeps it all feeling lively and lengthy.                      ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,25.0,Calamuri,Primitivo,Salento,,Southern Italy,Italy,Menhir Salento
0,winemag-data_1644183756.650954.json,88,Grant Burge 2019 Filsell Shiraz (Barossa),"
                      This is an old-school, oak-driven Shiraz, with prominent notes of chocolate and furniture polish amid ripe, plummy fruit. The acidity is surprisingly fresh after such a rich nose, saving the wine from stewed-fruit territory. But the oak, which drives the tannins, is a little too polished and prevalent for this reviewer's taste.                      ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,40.0,Filsell,Shiraz,Barossa,,South Australia,Australia,Grant Burge
1,winemag-data_1644183756.650954.json,88,Grower's Guild 2018 Cabernet Sauvignon (Columbia Valley (WA)),"
                      Looking for a well-priced weekday wine? Look no further. This one is ready out of the gate, with aromas of black currant, tar and tin. Plump, expressive flavors follow.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,16.0,,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Grower's Guild
2,winemag-data_1644183756.650954.json,88,Hearst Ranch 2019 Chileno Tempranillo (Paso Robles),"
                      Cherry-juice, coffee and smoke aromas come through in a thick way on the nose of this bottling. The smoke and oak flavors consume the palate, which also shows fig and prune flavors.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,35.0,Chileno,Tempranillo,Paso Robles,Central Coast,California,US,Hearst Ranch
3,winemag-data_1644183756.650954.json,88,Herdade do Rocim 2020 White (Alentejano),"
                      An attractive, lightly nutty and spicy wine. Those flavors contrast with the crisp apple and lemon that give this young, bright wine its lift. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,20.0,,Portuguese White,,,Alentejano,Portugal,Herdade do Rocim
4,winemag-data_1644183756.650954.json,88,Icardi 2016 Parej  (Barolo),"
                      Aromas of cedar, dark-skinned fruit and tilled soil emerge from the glass. The tight but already approachable palate offers baked plum, sage and clove alongside grainy tannins. Drink after 2023.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,73.0,Parej,Nebbiolo,Barolo,,Piedmont,Italy,Icardi
5,winemag-data_1644183756.650954.json,88,La Tordera 2020 Riva di Guia Oltreval Extra Brut Zerozuccheri  (Valdobbiadene Prosecco Superiore),"
                      Made with Glera and a small amount of Verdiso, this has aromas of medicinal herbs that carries over to the brisk, bone-dry palate along with citrus and mature yellow apple skin. Crisp acidity and a continuous perlage provide the energized backdrop.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,25.0,Riva di Guia Oltreval Extra Brut Zerozuccheri,Sparkling Blend,Valdobbiadene Prosecco Superiore,,Veneto,Italy,La Tordera
0,winemag-data_1644183631.7660754.json,92,Mark Ryan 2019 Monkey Wrench Red (Columbia Valley (WA)),"
                      Merlot (70%) is the star of this wine, with the balance Cabernet Sauvignon (18%), Cabernet Franc (8%) and Petit Verdot (4%). The aromas are fruit forward, with notes of black raspberry, berry and herb, along with a dash of cocoa. The palate shows sophistication and polish. It's an unabashed charmer, with plenty of nuance beyond that.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,32.0,Monkey Wrench,Red Blends,Columbia Valley (WA),Columbia Valley,Washington,US,Mark Ryan
1,winemag-data_1644183631.7660754.json,92,Walla Walla Vintners 2019 Cabernet Franc (Columbia Valley (WA)),"
                      Over the decades Walla Walla Vintners has hung its hat on making flat-out delicious wines, particularly Cabernet Franc, and with new Winemaker Derrek Vipond at the helm and this his inaugural vintage, the winery's future seems secure. Cherry, chocolate, herb and freshly brewed coffee aromas are followed by supple, sumptuous fruit flavors. It's thoroughly delightful.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,35.0,,Cabernet Franc,Columbia Valley (WA),Columbia Valley,Washington,US,Walla Walla Vintners
2,winemag-data_1644183631.7660754.json,92,Bodega de Edgar 2020 Can't Stop Denner Vineyard Grenache (Paso Robles Willow Creek District),"
                      This bright, superfresh and engaging bottling is an antidote to the very ripe style of Grenache that dominates Paso Robles. Aromas of pomegranate, hibiscus, rose petal and white peppercorns make for a delicious nose, while the floral aspects drive the palate, with ample crisp red-fruit flavors as well.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,,Can't Stop Denner Vineyard,Grenache,Paso Robles Willow Creek District,Central Coast,California,US,Bodega de Edgar
3,winemag-data_1644183631.7660754.json,92,Paraduxx 2017 X2 Red (Napa Valley),"
                      Made from a majority of Cabernet Sauvignon and 10% Zinfandel, this is a powerfully built wine, sanguine and savory in leather, tobacco and black currant. The fruit is plush and marked by hints of blueberry and black currant, and is velvety smooth through a long finish.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,100.0,X2,Red Blends,Napa Valley,Napa,California,US,Paraduxx
4,winemag-data_1644183631.7660754.json,92,Tasca d'Almerita 2020 Tenuta Regaleali Leone White (Terre Siciliane),"
                      Heady aromas of citrus, yellow stone fruit and Mediterranean scrub are front and center in this lovely white. A blend of Catarratto, Pinot Bianco, Sauvignon, Traminer Aromatico and Moscato, the bright, savory palate features juicy peach, ripe pear, orange zest and fennel seed alongside crisp acidity.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,20.0,Tenuta Regaleali Leone,White Blend,Terre Siciliane,,Sicily & Sardinia,Italy,Tasca d'Almerita
5,winemag-data_1644183631.7660754.json,92,Vignoble de la Jarnoterie 2019 Concerto  (Saint-Nicolas-de-Bourgueil),"
                      Old vines give this wine concentration. It is densely textured, with ripe black fruits and some still-firm tannins. The structure and bold black fruits promise aging. Drink this wine from 2023.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,40.0,Concerto,Cabernet Franc,Saint-Nicolas-de-Bourgueil,,Loire Valley,France,Vignoble de la Jarnoterie
0,winemag-data_1644183620.1001275.json,96,Cantina del Pino 2017 Albesani  (Barbaresco),"
                      Full-bodied and delicious, this opens with aromas of raspberry compote, camphor and pipe tobacco. The palate boasts concentrated flavors but also a weightless elegance and energy, delivering dried Morello cherry, blood orange, licorice and baking spice alongside tightly woven, velvety tannins. Fresh acidity keeps it well-balanced. Drink 2024–2032.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,60.0,Albesani,Nebbiolo,Barbaresco,,Piedmont,Italy,Cantina del Pino
1,winemag-data_1644183620.1001275.json,96,Two Paddocks 2018 The Fusilier Propietor's Reserve Pinot Noir (Central Otago),"
                      Four years into the making of this wine—from proprietor and actor Sam Neill's vineyard in Bannockburn, right next door to the renown Felton Road—and the results are stellar. Indeed, Felton's Block 5 Pinot, in particular, seems cut from a similar cloth, but this bears the unmistakable mark of Two Paddocks. It's highly perfumed and downright sexy, a tightrope walk of evocative flavor (think fresh red berries, mushrooms and dried flowers) and ultrafine, ethereal tannins. It's so approachable and complete, in fact, that it'd be tempting to think it's simpler than it is. But wound up in one harmonious package there's a lot of layers to this little beauty. Drink now–2030.                      ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,80.0,The Fusilier Propietor's Reserve,Pinot Noir,,,Central Otago,New Zealand,Two Paddocks
2,winemag-data_1644183620.1001275.json,96,Bruno Paillard 2008 N.P.U. Extra Brut  (Champagne),"
                      This Champagne is produced from grand cru vineyards in exceptional years only. Rich fruits and layers of spice mingle with the toastiness of maturity in this equal blend of Pinot Noir and Chardonnay. The wine is now ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,240.0,N.P.U. Extra Brut,Champagne Blend,Champagne,,Champagne,France,Bruno Paillard
3,winemag-data_1644183620.1001275.json,96,Deutz 2011 Amour de Deutz Brut Chardonnay (Champagne),"
                      A mature Champagne from a great vintage year, this is concentrated. With toast over the white fruits and with minerality still very present, the wine is taut, textured, vibrant and ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,200.0,Amour de Deutz Brut,Chardonnay,Champagne,,Champagne,France,Deutz
4,winemag-data_1644183620.1001275.json,96,Deutz 2015 William Deutz La Côte Glacière Brut Pinot Noir (Champagne),"
                      The second of a pair of Champagnes coming from single parcels in Aÿ, this Champagne is finely textured, with superb balance between the mature fruit and great acidity. It is now ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,100.0,William Deutz La Côte Glacière Brut,Pinot Noir,Champagne,,Champagne,France,Deutz
5,winemag-data_1644183620.1001275.json,96,Hirsch 2019 Estate Chardonnay (Fort Ross-Seaview),"
                      Gravel and stone adorn a fresh, focused and tension-filled palate of great acidity and coastal influence in this estate white, made in small quantities. The oak influence is minimal and well integrated while the fruit takes on a complex citrus-driven intensity and lemony finish.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,60.0,Estate,Chardonnay,Fort Ross-Seaview,Sonoma,California,US,Hirsch
0,winemag-data_1644183751.5269334.json,96,Quinta do Crasto 2018 Vinha Maria Teresa Red (Douro),"
                      Fermented in stone lagars, this wine has a rich, open character. From a field blend of old vines, it is impressively structured and densely textured. The black fruits and powerfully ripe tannins will take time. Drink the wine from 2025.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,242.0,Vinha Maria Teresa,Portuguese Red,,,Douro,Portugal,Quinta do Crasto
1,winemag-data_1644183751.5269334.json,96,Handley 2018 RSM Vineyard Pinot Noir (Anderson Valley),"
                      This graceful, layered and subtle wine deftly blends delicious plummy fruit with judicious oak spices and a hint of earthy, forest floor aromas. A gentle mouthfeel, medium to full body and lingering finish make it easy to keep sipping. It's the best of Handley's 2018s, and great to drink through 2028.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,55.0,RSM Vineyard,Pinot Noir,Anderson Valley,Mendocino County,California,US,Handley
2,winemag-data_1644183751.5269334.json,96,Vineyard 7&8 2018 Estate Cabernet Sauvignon (Spring Mountain District),"
                      This beautiful 100% varietal wine from the high-elevation estate is partially barrel-fermented and shows sophisticated tannin management and texture. Bay leaf, sage and cedar accent a full-bodied and concentrated core of complex red currant and cassis, with a girth of toasted oak, tobacco and cigar box playing secondary parts. Enjoy best from 2028 through 2038.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,185.0,Estate,Cabernet Sauvignon,Spring Mountain District,Napa,California,US,Vineyard 7&8
3,winemag-data_1644183751.5269334.json,96,Reeve 2018 Wendling Vineyard North Slope Pinot Noir (Mendocino County),"
                      This is a big but agile wine, framing ample, just-ripe black-cherry, cranberry and mint flavors in moderate tannins and lively acidity for great balance and good aging potential. Excellent concentration keeps the fruit and mild oak spice notes echoing on the finish. Best from 2026.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,85.0,Wendling Vineyard North Slope,Pinot Noir,Mendocino County,Mendocino County,California,US,Reeve
4,winemag-data_1644183751.5269334.json,96,Lula 2019 Lula Vineyard Pinot Noir (Anderson Valley),"
                      Gorgeous black fruits and enticing oak spice elements give this full-flavored, layered and well-structured wine more than enough pleasure. While rich, ripe and nicely nuanced with baking spices like vanilla, cinnamon and nutmeg, good underlying acidity and moderate fine-grained tannins keep it fresh and appetizing. Best from 2026.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,65.0,Lula Vineyard,Pinot Noir,Anderson Valley,Mendocino County,California,US,Lula
5,winemag-data_1644183751.5269334.json,96,Beauregard 2019 Bald Mountain Vineyard Chardonnay (Santa Cruz Mountains),"
                      Stony aromas of seashell hover above the Asian pear, jicama, white-flower and light spearmint aromas on the fascinating nose of this bottling. The stony streak cascades through the palate, which is like licking limestone but with fuller flavors of lemony apple and quince. The acid-driven finish lingers for an extended period.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,60.0,Bald Mountain Vineyard,Chardonnay,Santa Cruz Mountains,Central Coast,California,US,Beauregard
0,winemag-data_1644183732.9980412.json,86,Bosco del Merlo NV Rosé Brut  (Prosecco),"
                      Fun and refreshing, this easygoing sparkler has aromas of stone fruit and red berries. On the simple palate, bright acidity and lively bubbles frame white peach, citrus and a hint of candied cherry.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,,Rosé Brut,Sparkling Blend,Prosecco,,Veneto,Italy,Bosco del Merlo
1,winemag-data_1644183732.9980412.json,86,Campi Valerio 2019 Fannia  (Falanghina del Molise),"
                      This white is demure in aromas and flavors of apple cider, crushed melon and peppery herbs. It holds a soft feel on the palate, with just enough acidity to lend support.                      ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,,Fannia,Falanghina,Falanghina del Molise,,Southern Italy,Italy,Campi Valerio
2,winemag-data_1644183732.9980412.json,86,Cantina Zaccagnini 2020 Dal Tralcetto Dry Rosé (Colline Pescaresi),"
                      Rather stripped aromas of orange rind and crushed red cherry don't give much away on the nose. There's some textural juiciness on the palate, with equally demure fruit flavors that end short on the finish.                      ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,17.0,Dal Tralcetto Dry,Rosé,Colline Pescaresi,,Central Italy,Italy,Cantina Zaccagnini
3,winemag-data_1644183732.9980412.json,86,Cottesbrook 2019 Sparkling Sauvignon Blanc (Marlborough),"
                      This pale gold bubbly smells of lychee, pineapple, melon rind and honey. It's softly fizzy, though the bubbles dissipate quickly. It's drier than the nose suggests but has just enough sweetness to give it a syrupy texture. The acidity seems a little forced, and there's a synthetic feel to the finish, but this is overall a straightforward, refreshing drop.                      ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,18.0,Sparkling,Sauvignon Blanc,,,Marlborough,New Zealand,Cottesbrook
4,winemag-data_1644183732.9980412.json,86,Dona Maria-Júlio Bastos 2020 Viognier (Alentejano),"
                      Spicy, with attractive yellow fruits and acidity, this is a full-bodied wine, rounded and with a shot of lime at the end. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,22.0,,Viognier,,,Alentejano,Portugal,Dona Maria-Júlio Bastos
0,winemag-data_1644183643.9850438.json,93,Long Meadow Ranch 2016 Rutherford Estate Merlot (Rutherford),"
                      Given 80 months in French oak and made from organically grown grapes, this red impresses in its grasp of a leathery texture and rounded tannins. Pipe tobacco, currant and dark-plum flavors accent a well-integrated and balanced core of subtle power and elegance.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,80.0,Rutherford Estate,Merlot,Rutherford,Napa,California,US,Long Meadow Ranch
1,winemag-data_1644183643.9850438.json,93,Nino Negri 2017 Inferno Carlo Negri  (Valtellina Superiore),"
                      Ripe dark-skinned berry, coffee bean and camphor aromas emerge from the glass. Boasting a firm structure and finesse, the savory palate delivers ripe Marasca cherry, star anise and a hint of toasted almond alongside taut, fine-grained tannins. Drink 2023–2029.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,41.0,Inferno Carlo Negri,Nebbiolo,Valtellina Superiore,,Lombardy,Italy,Nino Negri
